customer_id,activity_month,nb_app_opens,nb_transactions_imported,nb_budgets_created,nb_goals_created,nb_dashboard_views,is_active_month,usage_segment
CUST_000001,2025-11-01,2,1,1,0,2,True,medium
CUST_000001,2025-12-01,3,0,0,1,1,True,low
CUST_000002,2025-03-01,2,0,0,0,0,True,low
CUST_000003,2025-01-01,10,4,2,1,8,True,power
CUST_000003,2025-02-01,5,1,0,1,4,True,medium
CUST_000003,2025-03-01,7,3,0,1,5,True,power
CUST_000003,2025-04-01,8,3,0,0,6,True,medium
CUST_000003,2025-05-01,8,1,0,1,3,True,medium
CUST_000003,2025-06-01,6,2,0,0,5,True,medium
CUST_000003,2025-07-01,7,4,1,0,6,True,power
CUST_000003,2025-08-01,8,4,1,1,5,True,power
CUST_000003,2025-09-01,7,2,0,1,6,True,medium
CUST_000003,2025-10-01,9,4,1,0,4,True,power
CUST_000003,2025-11-01,7,4,0,1,6,True,power
CUST_000003,2025-12-01,5,4,1,1,7,True,power
CUST_000004,2025-11-01,0,0,1,0,1,True,low
CUST_000004,2025-12-01,5,1,0,1,2,True,medium
CUST_000005,2025-01-01,2,0,0,0,2,True,low
CUST_000006,2025-04-01,1,0,0,0,2,False,low
CUST_000006,2025-05-01,2,0,0,0,0,True,low
CUST_000007,2025-06-01,1,0,0,0,0,False,low
CUST_000008,2025-07-01,3,0,0,0,1,True,low
CUST_000009,2025-07-01,3,1,1,0,1,True,medium
CUST_000010,2025-06-01,1,0,0,0,1,False,low
CUST_000011,2025-08-01,3,1,1,0,1,True,medium
CUST_000012,2025-05-01,3,1,1,0,4,True,medium
CUST_000013,2025-10-01,4,1,1,0,2,True,medium
CUST_000014,2025-11-01,0,0,0,0,1,False,low
CUST_000014,2025-12-01,1,0,0,0,0,False,low
CUST_000015,2025-01-01,1,0,0,0,0,False,low
CUST_000015,2025-02-01,2,1,1,1,1,True,medium
CUST_000016,2025-04-01,1,1,1,1,3,True,medium
CUST_000016,2025-05-01,1,0,0,0,0,False,low
CUST_000017,2025-09-01,2,0,0,0,2,True,low
CUST_000018,2025-05-01,1,0,0,0,2,False,low
CUST_000019,2025-10-01,0,1,1,1,3,True,medium
CUST_000019,2025-11-01,3,0,0,0,0,True,low
CUST_000020,2025-02-01,2,0,0,0,2,True,low
CUST_000020,2025-03-01,1,1,0,0,0,True,low
CUST_000021,2025-12-01,3,0,0,0,0,True,low
CUST_000022,2025-09-01,1,0,1,1,0,True,medium
CUST_000022,2025-10-01,4,1,0,0,1,True,medium
CUST_000023,2025-03-01,2,0,0,0,0,True,low
CUST_000024,2025-03-01,2,0,0,0,1,True,low
CUST_000025,2025-05-01,4,1,1,1,1,True,medium
CUST_000026,2025-11-01,1,0,0,0,1,False,low
CUST_000027,2025-04-01,1,1,0,0,0,True,low
CUST_000028,2025-06-01,13,3,1,1,6,True,power
CUST_000028,2025-07-01,9,2,0,1,4,True,medium
CUST_000028,2025-08-01,7,4,1,0,7,True,power
CUST_000028,2025-09-01,6,2,1,0,5,True,medium
CUST_000028,2025-10-01,8,4,0,0,4,True,power
CUST_000028,2025-11-01,7,4,1,0,7,True,power
CUST_000028,2025-12-01,7,2,1,0,4,True,medium
CUST_000029,2025-06-01,2,1,0,0,1,True,low
CUST_000030,2025-09-01,12,4,1,1,6,True,power
CUST_000030,2025-10-01,9,3,0,0,6,True,medium
CUST_000030,2025-11-01,9,1,1,0,7,True,medium
CUST_000030,2025-12-01,6,4,1,1,6,True,power
CUST_000031,2025-12-01,1,0,0,0,0,False,low
CUST_000032,2025-08-01,1,0,0,0,1,False,low
CUST_000033,2025-06-01,3,0,0,0,1,True,low
CUST_000034,2025-08-01,2,1,1,0,1,True,medium
CUST_000035,2025-05-01,2,0,0,0,2,True,low
CUST_000036,2025-02-01,20,8,3,0,8,True,power
CUST_000036,2025-03-01,16,3,0,2,7,True,power
CUST_000036,2025-04-01,15,7,2,0,11,True,power
CUST_000036,2025-05-01,16,5,1,0,10,True,power
CUST_000036,2025-06-01,11,5,1,2,9,True,power
CUST_000036,2025-07-01,10,4,1,2,12,True,power
CUST_000036,2025-08-01,11,3,1,2,9,True,power
CUST_000036,2025-09-01,11,3,0,1,9,True,power
CUST_000036,2025-10-01,15,4,2,1,7,True,power
CUST_000036,2025-11-01,17,5,1,2,9,True,power
CUST_000036,2025-12-01,14,4,1,0,7,True,power
CUST_000037,2025-12-01,18,8,2,0,16,True,power
